,Name,Groups,Operation System,"EndpointsBreakdown*,Compliance",Next Slot Start,Next Slot End,Exemption,Next Slot StartNext Slot End,Next Slot EndExemption,madsfkzb165.nmhsd.Icl,Intune-Endpoints,Windows 10,"Compliance1|0|7Maintenance WindowExpired, UpdatingEndpoint Group87.50%",Range,Exemption Reason
61,hsd-5cg0231gp8.nmhsd.lcl,Intune-Endpoints,Windows 10,1|0|0 0.00%,,,,,"Disconnected, MaintenanceWindow Expired, UpdatingEndpoint Group",,,,,<70%,Disconnected
62,id47.nmhsd.lcl,Intune-Endpoints,Windows 10,0|0|12 100.00%,,,,,,,,,,91-100%,Fully Patched
63,itdsfipd619.nmhsd.Icl,Intune-Endpoints,Windows 10,0|1|14 93.33%,,,,,"Failed, MaintenanceWindow Expired, LowDisk Space",,,,,91-100%,Need to analyze the issue
64,HSD-5CD82423G6.nmhsd.lcl,Intune-Endpoints,Windows 10,1|0|0 0.00%,,,,,MaintenanceWindow Expired,,,,,<70%,Disconnected
65,hsd-5cg0231h7j.nmhsd.lcl,Intune-Endpoints,Windows 10,1|0|0 0.00%,,,,,MaintenanceWindow Expired,,,,,<70%,Disconnected
66,HSD-801TK33.nmhsd.Icl,Intune-Endpoints,Windows 10,24|0|0 0.00%,,,,,MaintenanceWindow Expired,,,,,<70%,Disconnected
67,isdsfjzb364.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|10 100.00%,,,,,,,,,,91-100%,Fully Patched
68,hsd-fw83xd3.nmhsd.Icl,Intune-Endpoints,Windows 10,1|0|0 0.00%,,,,,"Disconnected,MaintenanceWindow Expired",,,,,<70%,Disconnected
69,hsd-5cd221h9mm.nmhsd.lcl,Intune-Endpoints,Windows 10,0|0|1 100.00%,,,,,,,,,,91-100%,Fully Patched
70,hsd-5cd221h9lz.nmhsd.lcl,Intune-Endpoints,Windows 10,1|0|0 0.00%,,,,,"Disconnected,MaintenanceWindow Expired",,,,,<70%,Disconnected
71,Opex-PC1.nmhsd.lcl,Intune-Endpoints,Windows 7,0|0|1 100.00%,,,,,,,,,,91-100%,Fully Patched
72,hsd-5cg046596d.nmhsd.lcl,Intune-Endpoints,Windows 10,1|0|0 0.00%,,,,,"Disconnected, MaintenanceWindow Expired, UpdatingEndpoint Group",,,,,<70%,Disconnected
73,hsd-5cd2257cwt,Intune-Endpoints,Windows 10,1|0|8 88.89%,,,,,"Disconnected,MaintenanceWindow Expired",,,,,81-90%,Maintenance Window Expired
74,madsfkzb082.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|7 100.00%,,,,,,,,,,91-100%,Fully Patched
75,HSD-5CD221H9ML.nmhsd.lcl,Intune-Endpoints,Windows 10,1|0|0 0.00%,,,,,MaintenanceWindow Expired,,,,,<70%,Disconnected
76,madsfkzb086.nmhsd.Icl,Intune-Endpoints,Windows 10,1|5|0 0.00%,,,,,"Disconnected, Failed,Maintenance Window Expired,Updating Endpoint Group",,,,,<70%,Disconnected
77,BHDBRD03.nmhsd.lcl,Intune-Endpoints,Windows 10,1|0|2 66.67%,,,,,MaintenanceWindow Expired,,,,,<70%,Maintenance Window Expired
78,madsfkzb171.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|7 100.00%,,,,,,,,,,91-100%,Fully Patched
79,oaaabhws100.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|7 100.00%,,,,,,,,,,91-100%,Fully Patched
